Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson
K11,10477,10471,2150,2144,1379.03353672641,6.97783215659107,0.90937433285154,0.965237067869857,0.997708857962905
K12,18152,18143,3057,3048,1510.78945574713,7.2008558358747,0.897281739663443,0.983671387086233,0.997923180066433
L01,32468,32450,3008,2990,1213.42256550076,6.7193204524054,0.838967999577205,0.946223208973986,0.995791161112393
L02,19734,19731,1961,1958,1012.07743781019,6.33397803665874,0.835483805602123,0.915346442822964,0.994341237906746
L03,30891,30884,2784,2777,1156.27657269201,6.6162315771338,0.834156394215065,0.938078668179602,0.995014839242765
L04,21273,21266,2657,2650,1257.93955628792,6.79106963829123,0.861269519933302,0.951499288729713,0.99654791803189
L05,31020,31015,2792,2787,1177.57077436382,6.69158065185223,0.843351099259225,0.946313525505609,0.996223970641848
L06,22239,22231,2524,2516,1165.77720616466,6.58529852476619,0.840647765618105,0.932610806757837,0.994954507444815
L07,8445,8441,1551,1547,1128.82733478449,6.52153842568241,0.887688108510953,0.927813215220972,0.995755505007325
L08,37619,37605,3023,3009,1176.48341002952,6.68055503160686,0.833610040916964,0.944877742630788,0.996024700333329
L09,20182,20171,2682,2671,1304.83899699075,6.82221657066138,0.864193273629195,0.950985996951391,0.996344001918288
L10,20640,20632,2633,2625,1244.23704614628,6.73753060207098,0.855463938136637,0.945448772110183,0.995912373805661
L11,29562,29559,2753,2750,1194.22122380527,6.71936906101281,0.848357356703317,0.948360252883667,0.996233894731377
L12,21456,21439,2803,2786,1280.11570799897,6.78809744478954,0.855091516473718,0.948759834752391,0.996047553538629
L13,26956,26952,2720,2716,1229.77125257144,6.7900899158437,0.858593513326839,0.954390366822678,0.996588982202254
L14,21769,21763,2441,2435,1152.57966034329,6.59063403602289,0.844935416932362,0.934873812251283,0.995317537841918
L15,8892,8889,1295,1292,917.618173895516,5.91186704144531,0.824957804075926,0.866616316102683,0.986288225234528
L16,29290,29272,3096,3078,1269.36018300123,6.79695432333725,0.845616750125328,0.951119392168392,0.996059470982829
